session_id,enterprise_id,user_id,agent_id,agent_type,user_role,start_time,end_time,duration_seconds,num_events,declared_intent,is_anomalous_session,slow_drip_exfiltration,broad_retrieval_or_table_scan,intent_drift,privilege_escalation_or_sensitive_access_violation,high_entropy_exploration,off_hours_sensitive_or_high_volume_access
sess_1000,ent_nexus_beta,usr_500,agt_6,automated_cron,analyst,2026-05-17 07:47:53,2026-05-17 08:25:43,2270,13,inventory_check,0,0,0,0,0,0,0
sess_1001,ent_corp_alpha,usr_501,agt_2,internal_tool,admin,2026-05-07 19:54:19,2026-05-07 20:22:05,1666,15,system_health_check,0,0,0,0,0,0,0
sess_1002,ent_nexus_beta,usr_502,agt_6,user_facing_llm,analyst,2026-05-12 17:35:46,2026-05-12 17:59:21,1415,17,billing_summary,0,0,0,0,0,0,0
sess_1003,ent_corp_alpha,usr_503,agt_6,user_facing_llm,support,2026-05-20 15:15:01,2026-05-20 16:01:57,2816,20,order_management,0,0,0,0,0,0,0
sess_1004,ent_corp_alpha,usr_504,agt_11,internal_tool,admin,2026-05-19 12:20:54,2026-05-19 12:53:01,1927,14,report_generation,0,0,0,0,0,0,0
sess_1005,ent_nexus_beta,usr_505,agt_15,user_facing_llm,admin,2026-05-02 11:26:05,2026-05-02 11:37:42,697,11,compensation_review,0,0,0,0,0,0,0
sess_1006,ent_nexus_beta,usr_506,agt_1,automated_cron,executive,2026-05-26 02:02:54,2026-05-26 04:50:33,10059,45,sales_performance,1,1,0,0,0,0,1
sess_1007,ent_corp_alpha,usr_507,agt_8,automated_cron,executive,2026-05-16 22:24:56,2026-05-16 22:48:27,1411,16,compensation_review,0,0,0,0,0,0,0
sess_1008,ent_corp_alpha,usr_508,agt_9,internal_tool,tier_1_support,2026-05-26 09:44:07,2026-05-26 10:11:26,1639,13,order_management,0,0,0,0,0,0,0
sess_1009,ent_apex_gamma,usr_509,agt_10,user_facing_llm,analyst,2026-05-06 12:31:03,2026-05-06 12:51:10,1207,15,billing_summary,0,0,0,0,0,0,0
sess_1010,ent_nexus_beta,usr_510,agt_3,automated_cron,support,2026-05-22 12:10:05,2026-05-22 12:29:21,1156,14,customer_lookup,0,0,0,0,0,0,0
sess_1011,ent_corp_alpha,usr_511,agt_10,user_facing_llm,tier_1_support,2026-05-07 12:12:56,2026-05-07 12:21:44,528,7,support_triage,0,0,0,0,0,0,0
sess_1012,ent_apex_gamma,usr_512,agt_7,user_facing_llm,support,2026-05-10 13:33:37,2026-05-10 13:58:35,1498,16,order_management,0,0,0,0,0,0,0
sess_1013,ent_apex_gamma,usr_513,agt_10,internal_tool,tier_1_support,2026-05-26 06:56:41,2026-05-26 07:09:17,756,7,customer_lookup,0,0,0,0,0,0,0
sess_1014,ent_corp_alpha,usr_514,agt_4,internal_tool,executive,2026-05-05 07:19:59,2026-05-05 07:48:26,1707,15,report_generation,0,0,0,0,0,0,0
sess_1015,ent_nexus_beta,usr_515,agt_14,automated_cron,data_engineer,2026-05-03 11:15:10,2026-05-03 11:31:09,959,18,schema_audit,1,0,0,0,1,1,0
sess_1016,ent_corp_alpha,usr_516,agt_2,internal_tool,tier_1_support,2026-04-28 15:05:50,2026-04-28 15:34:37,1727,19,order_management,0,0,0,0,0,0,0
sess_1017,ent_nexus_beta,usr_517,agt_10,user_facing_llm,support,2026-05-25 23:23:55,2026-05-25 23:42:00,1085,11,order_management,0,0,0,0,0,0,0
sess_1018,ent_nexus_beta,usr_518,agt_14,automated_cron,admin,2026-05-10 13:59:19,2026-05-10 16:31:23,9124,42,report_generation,1,1,0,0,0,0,0
sess_1019,ent_nexus_beta,usr_519,agt_2,user_facing_llm,analyst,2026-05-14 02:18:32,2026-05-14 02:43:14,1482,13,report_generation,0,0,0,0,0,0,0
sess_1020,ent_corp_alpha,usr_520,agt_3,internal_tool,executive,2026-04-28 09:21:50,2026-04-28 09:36:34,884,10,sales_performance,0,0,0,0,0,0,0
sess_1021,ent_corp_alpha,usr_521,agt_3,user_facing_llm,support,2026-05-18 13:44:03,2026-05-18 13:59:31,928,8,support_triage,1,0,0,1,0,0,0
sess_1022,ent_corp_alpha,usr_522,agt_1,automated_cron,support,2026-05-06 23:19:10,2026-05-06 23:52:44,2014,14,order_management,0,0,0,0,0,0,0
sess_1023,ent_nexus_beta,usr_523,agt_3,automated_cron,admin,2026-05-05 13:06:58,2026-05-05 13:23:08,970,10,payroll_processing,0,0,0,0,0,0,0
sess_1024,ent_nexus_beta,usr_524,agt_10,user_facing_llm,analyst,2026-05-08 14:21:40,2026-05-08 14:48:59,1639,13,sales_performance,0,0,0,0,0,0,0
sess_1025,ent_apex_gamma,usr_525,agt_9,internal_tool,support,2026-05-03 12:17:31,2026-05-03 12:37:59,1228,8,support_triage,0,0,0,0,0,0,0
sess_1026,ent_nexus_beta,usr_526,agt_11,internal_tool,tier_1_support,2026-05-21 17:16:43,2026-05-21 17:52:57,2174,18,support_triage,0,0,0,0,0,0,0
sess_1027,ent_nexus_beta,usr_527,agt_9,internal_tool,tier_1_support,2026-05-06 12:10:42,2026-05-06 12:35:51,1509,11,order_management,0,0,0,0,0,0,0
sess_1028,ent_nexus_beta,usr_528,agt_5,internal_tool,support,2026-05-08 10:17:29,2026-05-08 10:40:41,1392,11,order_management,0,0,0,0,0,0,0
sess_1029,ent_apex_gamma,usr_529,agt_4,automated_cron,tier_1_support,2026-05-13 16:38:15,2026-05-13 17:02:39,1464,15,support_triage,0,0,0,0,0,0,0
sess_1030,ent_nexus_beta,usr_530,agt_2,internal_tool,admin,2026-05-20 13:00:31,2026-05-20 13:31:52,1881,17,report_generation,0,0,0,0,0,0,0
sess_1031,ent_nexus_beta,usr_531,agt_9,user_facing_llm,analyst,2026-05-19 14:23:17,2026-05-19 14:42:32,1155,9,billing_summary,1,0,0,0,1,0,0
sess_1032,ent_corp_alpha,usr_532,agt_8,internal_tool,support,2026-05-25 14:50:16,2026-05-25 15:13:46,1410,16,order_management,0,0,0,0,0,0,0
sess_1033,ent_nexus_beta,usr_533,agt_14,automated_cron,data_engineer,2026-05-08 02:17:51,2026-05-08 02:57:11,2360,12,report_generation,0,0,0,0,0,0,0
sess_1034,ent_apex_gamma,usr_534,agt_12,user_facing_llm,executive,2026-05-23 15:14:25,2026-05-23 15:35:56,1291,14,sales_performance,0,0,0,0,0,0,0
sess_1035,ent_nexus_beta,usr_535,agt_3,internal_tool,admin,2026-05-02 14:19:41,2026-05-02 14:44:30,1489,12,payroll_processing,0,0,0,0,0,0,0
sess_1036,ent_nexus_beta,usr_536,agt_12,user_facing_llm,executive,2026-05-03 01:27:49,2026-05-03 01:50:01,1332,16,billing_summary,0,0,0,0,0,0,0
sess_1037,ent_corp_alpha,usr_537,agt_10,internal_tool,support,2026-05-07 14:16:32,2026-05-07 14:45:29,1737,12,customer_lookup,0,0,0,0,0,0,0
sess_1038,ent_corp_alpha,usr_538,agt_6,internal_tool,executive,2026-05-22 14:22:52,2026-05-22 14:53:43,1851,17,report_generation,0,0,0,0,0,0,0
sess_1039,ent_apex_gamma,usr_539,agt_8,user_facing_llm,executive,2026-05-22 04:44:56,2026-05-22 05:02:57,1081,12,billing_summary,0,0,0,0,0,0,0
sess_1040,ent_apex_gamma,usr_540,agt_8,automated_cron,executive,2026-05-24 15:40:30,2026-05-24 16:03:45,1395,12,sales_performance,0,0,0,0,0,0,0
sess_1041,ent_nexus_beta,usr_541,agt_11,user_facing_llm,analyst,2026-05-24 11:37:06,2026-05-24 11:58:33,1287,14,sales_performance,0,0,0,0,0,0,0
sess_1042,ent_corp_alpha,usr_542,agt_1,user_facing_llm,admin,2026-05-04 23:19:32,2026-05-05 01:35:47,8175,32,payroll_processing,1,1,0,0,0,0,0
sess_1043,ent_apex_gamma,usr_543,agt_1,internal_tool,tier_1_support,2026-05-27 19:49:48,2026-05-27 20:17:34,1666,13,customer_lookup,0,0,0,0,0,0,0
sess_1044,ent_corp_alpha,usr_544,agt_6,automated_cron,executive,2026-05-02 18:30:42,2026-05-02 18:55:41,1499,13,compensation_review,0,0,0,0,0,0,0
sess_1045,ent_apex_gamma,usr_545,agt_9,internal_tool,data_engineer,2026-04-29 00:39:45,2026-04-29 01:02:50,1385,13,schema_audit,1,0,1,0,0,0,1
sess_1046,ent_nexus_beta,usr_546,agt_5,internal_tool,admin,2026-04-30 12:56:49,2026-04-30 13:08:10,681,10,system_health_check,0,0,0,0,0,0,0
sess_1047,ent_apex_gamma,usr_547,agt_5,automated_cron,data_engineer,2026-05-25 10:00:22,2026-05-25 10:17:13,1011,10,inventory_check,0,0,0,0,0,0,0
sess_1048,ent_apex_gamma,usr_548,agt_7,automated_cron,admin,2026-05-26 15:26:47,2026-05-26 15:50:58,1451,13,system_health_check,0,0,0,0,0,0,0
sess_1049,ent_corp_alpha,usr_549,agt_12,internal_tool,analyst,2026-05-11 08:42:16,2026-05-11 08:52:45,629,10,sales_performance,1,0,0,0,1,0,0
sess_1050,ent_apex_gamma,usr_550,agt_6,user_facing_llm,data_engineer,2026-05-01 17:06:53,2026-05-01 17:23:09,976,10,system_health_check,0,0,0,0,0,0,0
sess_1051,ent_corp_alpha,usr_551,agt_11,user_facing_llm,tier_1_support,2026-05-06 02:11:40,2026-05-06 02:34:24,1364,12,customer_lookup,0,0,0,0,0,0,0
sess_1052,ent_apex_gamma,usr_552,agt_1,automated_cron,analyst,2026-05-01 01:34:20,2026-05-01 01:46:38,738,13,billing_summary,1,0,0,0,1,0,1
sess_1053,ent_apex_gamma,usr_553,agt_8,internal_tool,analyst,2026-05-11 15:47:13,2026-05-11 16:09:00,1307,9,inventory_check,0,0,0,0,0,0,0
sess_1054,ent_nexus_beta,usr_554,agt_5,internal_tool,data_engineer,2026-04-28 11:37:22,2026-04-28 12:03:46,1584,14,inventory_check,1,0,0,1,0,0,0
sess_1055,ent_corp_alpha,usr_555,agt_3,automated_cron,analyst,2026-05-24 18:34:14,2026-05-24 18:51:52,1058,14,billing_summary,0,0,0,0,0,0,0
sess_1056,ent_nexus_beta,usr_556,agt_7,internal_tool,admin,2026-05-18 04:11:51,2026-05-18 04:48:35,2204,18,report_generation,0,0,0,0,0,0,0
sess_1057,ent_apex_gamma,usr_557,agt_0,user_facing_llm,support,2026-05-04 12:11:35,2026-05-04 12:22:45,670,12,customer_lookup,0,0,0,0,0,0,0
sess_1058,ent_apex_gamma,usr_558,agt_4,user_facing_llm,analyst,2026-05-24 10:18:31,2026-05-24 10:41:08,1357,12,billing_summary,0,0,0,0,0,0,0
sess_1059,ent_corp_alpha,usr_559,agt_7,automated_cron,tier_1_support,2026-05-06 18:31:06,2026-05-06 18:53:04,1318,12,order_management,0,0,0,0,0,0,0
sess_1060,ent_apex_gamma,usr_560,agt_3,user_facing_llm,executive,2026-05-25 23:03:50,2026-05-25 23:27:35,1425,10,billing_summary,0,0,0,0,0,0,0
sess_1061,ent_apex_gamma,usr_561,agt_12,internal_tool,analyst,2026-05-27 16:35:53,2026-05-27 16:51:40,947,9,billing_summary,0,0,0,0,0,0,0
sess_1062,ent_corp_alpha,usr_562,agt_10,internal_tool,tier_1_support,2026-05-20 14:42:25,2026-05-20 15:07:25,1500,15,customer_lookup,0,0,0,0,0,0,0
sess_1063,ent_nexus_beta,usr_563,agt_0,internal_tool,support,2026-05-01 10:07:14,2026-05-01 10:20:21,787,10,customer_lookup,1,0,1,0,0,0,0
sess_1064,ent_nexus_beta,usr_564,agt_2,internal_tool,executive,2026-05-23 23:14:43,2026-05-23 23:51:02,2179,16,sales_performance,0,0,0,0,0,0,0
sess_1065,ent_corp_alpha,usr_565,agt_9,user_facing_llm,executive,2026-05-10 07:18:45,2026-05-10 07:38:42,1197,12,sales_performance,0,0,0,0,0,0,0
sess_1066,ent_apex_gamma,usr_566,agt_1,automated_cron,executive,2026-05-09 19:03:01,2026-05-09 19:16:06,785,12,billing_summary,1,0,1,0,0,0,0
sess_1067,ent_corp_alpha,usr_567,agt_1,internal_tool,admin,2026-05-13 19:21:18,2026-05-13 19:37:38,980,12,system_health_check,0,0,0,0,0,0,0
sess_1068,ent_apex_gamma,usr_568,agt_5,automated_cron,data_engineer,2026-05-17 04:04:59,2026-05-17 04:53:40,2921,18,inventory_check,0,0,0,0,0,0,0
sess_1069,ent_apex_gamma,usr_569,agt_12,automated_cron,data_engineer,2026-05-16 18:46:57,2026-05-16 19:12:47,1550,11,inventory_check,0,0,0,0,0,0,0
sess_1070,ent_apex_gamma,usr_570,agt_12,automated_cron,data_engineer,2026-05-06 12:34:15,2026-05-06 12:53:15,1140,15,report_generation,0,0,0,0,0,0,0
sess_1071,ent_nexus_beta,usr_571,agt_3,user_facing_llm,analyst,2026-05-11 09:06:36,2026-05-11 09:30:48,1452,17,sales_performance,0,0,0,0,0,0,0
sess_1072,ent_apex_gamma,usr_572,agt_12,automated_cron,admin,2026-05-20 12:44:26,2026-05-20 12:55:01,635,14,payroll_processing,1,0,0,0,1,1,0
sess_1073,ent_nexus_beta,usr_573,agt_3,automated_cron,support,2026-05-07 10:24:24,2026-05-07 10:38:49,865,11,support_triage,0,0,0,0,0,0,0
sess_1074,ent_nexus_beta,usr_574,agt_7,internal_tool,data_engineer,2026-05-12 16:04:09,2026-05-12 16:30:08,1559,14,report_generation,0,0,0,0,0,0,0
sess_1075,ent_corp_alpha,usr_575,agt_5,internal_tool,admin,2026-05-26 11:02:27,2026-05-26 11:25:10,1363,14,schema_audit,0,0,0,0,0,0,0
sess_1076,ent_corp_alpha,usr_576,agt_1,automated_cron,admin,2026-04-27 14:53:47,2026-04-27 15:16:55,1388,10,system_health_check,1,0,0,1,0,0,0
sess_1077,ent_apex_gamma,usr_577,agt_2,internal_tool,executive,2026-05-16 13:52:37,2026-05-16 16:41:08,10111,37,report_generation,1,1,0,0,0,0,0
sess_1078,ent_apex_gamma,usr_578,agt_6,automated_cron,admin,2026-05-22 10:42:31,2026-05-22 11:05:21,1370,11,report_generation,0,0,0,0,0,0,0
sess_1079,ent_apex_gamma,usr_579,agt_7,automated_cron,tier_1_support,2026-05-22 23:29:24,2026-05-23 02:06:58,9454,44,customer_lookup,1,1,0,0,0,0,1
sess_1080,ent_apex_gamma,usr_580,agt_8,internal_tool,analyst,2026-05-20 10:11:58,2026-05-20 10:30:07,1089,12,inventory_check,0,0,0,0,0,0,0
